id,name,sport,created_at,gender,alias
a2fe7b86-ebc7-4c62-9c76-139ea903f82f,C.N. Barcelona M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""CNB M""]"
ea8acf3a-572f-4a72-b27f-e171eae95bc9,C.N. Boadilla F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Boadilla F""]"
fb55d5ce-0c8b-4b35-84b6-902ef4620014,C.N. Boadilla M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Boadilla M""]"
d9332f07-7f47-465f-9209-aca1ad54908b,C.N. Caballa M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Caballa M""]"
8949f5b3-cd66-4c55-ac53-d880b70b1d5f,C.N. Catalunya F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Catalunya F""]"
6234938a-9a98-47e1-ad0d-5c7732c3fb9a,C.N. Catalunya M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Catalunya M""]"
16608d0d-c50a-41ad-9bc4-192046bbe16f,C.N. Ciutat de Palma F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
8282b099-4c81-4fa3-8e83-c4b9e861cfcd,C.N. Ciutat de Palma M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
ca6c4bd4-f9d0-4c50-950f-9260d56dafc1,C.N. Cuatro Caminos F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Cuatro Caminos F""]"
600c0d50-b761-40a1-9895-dcb1f34bea2b,C.N. Echeyde B M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Echeyde B"",""Echeyde B M""]"
36a6e1af-802d-4b88-b274-fbfa374a65b6,C.N. Echeyde F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Echeyde F""]"
af751f96-fb94-4465-8ce5-b5bd22abde98,C.N. Echeyde M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Echeyde M""]"
707e8d80-8dd7-409e-b314-cd648a44ce25,C.N. Godella F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
1c4999bb-dcb4-4472-882f-bc380b72157c,C.N. Godella M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
7b1b7c20-3ce7-4ecb-952f-dc51203d9ead,C.N. Granollers F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,"[""Granollers F""]"
0849b04d-9777-4cf3-a17d-123470e1fa06,C.N. Granollers M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Granollers M""]"
c6d44f75-5d07-48f0-94f7-d543bb76d0d1,C.N. Helios M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,"[""Helios M""]"
08b23125-e809-4e32-90a2-d8ff0f102294,C.N. Las Palmas M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
0def2357-90dd-4e50-ac55-db40d91782b7,C.N. Marseille M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
52a65cf2-4edd-422e-b4c0-00885a255d68,C.N. Mataró F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
14da4e2e-72ad-46b0-a163-a398b27a12ff,C.N. Mataró M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
8b962bce-254a-4a2c-8130-5aa482a37093,C.N. Metropole M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
6dc0a2f8-2d2b-462d-b29e-746614eea4a3,C.N. Molins de Rei F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
60364012-9ec4-4d98-b44c-1f2d7ca7bbb3,C.N. Molins de Rei M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
a8318e7e-9f34-4e23-807d-da1a6aeba3fa,C.N. Poble Nou F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
9412a44c-0f5d-4f54-afe3-be5c560461e0,C.N. Poble Nou M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
859cb29c-c252-4a93-8bc9-e3f549dbb31d,C.N. Premià M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
9496c151-4e03-4e2a-adcb-69307463a81d,C.N. Rubí F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
10d8dd3a-d822-493c-8809-9943c3730093,C.N. Rubí M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
b08659c5-66fe-4201-9645-039f7e04ef01,C.N. Sabadell F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
6a744912-0fcf-493e-ba42-16cc7204affc,C.N. Sabadell M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
b301a632-1049-48a5-a984-3447e144a9e0,C.N. Sant Andreu F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
afcca455-61e5-4315-98f1-c4fcdaa62314,C.N. Sant Andreu M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
72a6e461-d3c3-46e3-afbd-0e23c0a4f4f2,C.N. Sant Feliu F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
94ec133e-d995-43f9-bc93-11102d0ba60d,C.N. Sant Feliu M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
8a272709-03de-4f38-9238-3eddc896034f,C.N. Terrassa F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
afb9f485-ab39-48da-9729-95ab61dbbbb6,C.N. Terrassa F ,waterpolo,2025-12-04T22:48:35.998558+00:00,,[]
11b89adb-d43e-4a2d-a380-3dfb53fe8daf,C.N. Terrassa M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
93733c3d-bcb2-4c99-82fd-7533200c6725,C.N. Tres Cantos M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
a0f17412-4c42-4990-aed3-cbc6b5547331,C.N. Vallirana F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
9f75392a-6174-431b-8816-9f8e940a0122,C.N. Vallirana M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
7810f4da-bff0-4c47-8680-89fb764703bc,cata,waterpolo,2025-12-18T14:38:32.718649+00:00,,[]
2656351b-1024-4821-b8ac-61f795aea5fb,Ciutat de Palma M,waterpolo,2026-01-21T23:58:18.814951+00:00,,[]
629b949e-5382-4d26-94e8-e36f678974bb,Claret Askartza M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
55fd57cf-729e-4e13-9377-21b60d087e05,Croacia F,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
67e2def7-f438-443a-8117-4c397bb75b25,CS Plebiscito Padova F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
eab1a057-ed8f-4d71-bc8c-fc6ce255038f,CSA Steaua Bucarest M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
4ffacc7d-d85d-4db3-bd86-35208ad5cd95,D.N Portugalete M,waterpolo,2025-10-10T17:06:53.874434+00:00,m,[]
0400b200-6e8c-4bf4-b5ff-fc2f7021fe1a,De Akker Bolonia,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
76b89a22-40f6-4f11-9141-e4a8ff16dcc6,DINAMARCA (balonmano),waterpolo,2026-01-22T22:03:13.236658+00:00,,[]
2a88a7cd-e28b-4927-90fb-a5ab93cc0299,Dinamarca/Islandia,waterpolo,2026-01-30T20:18:53.435236+00:00,,[]
5147f609-22ab-4107-be2c-a0cda56ac2e4,Djokovic,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
b58c61a2-87fc-4f30-b6aa-5f3ebb006a25,Donosti ,waterpolo,2025-12-12T14:04:29.844514+00:00,,[]
70083887-cb37-4e5f-a166-34dcb130b9dd,dos ,waterpolo,2025-12-19T11:17:15.272663+00:00,,[]
bed6aba7-206d-4678-a326-6426dd1bed31,Dunaujvaros F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
0853f02d-229b-442d-bd62-54135289e7e9,E. Waterpolo Zaragoza F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
79d4e8e5-a94b-4f97-a9a5-da12e652b715,Eger F,waterpolo,2025-09-24T16:49:28.78578+00:00,f,[]
c6945a8e-1cc8-4945-a419-5d1781e97f8f,Ekipe Orizzonte F,waterpolo,2025-10-23T16:01:12.596671+00:00,f,[]
83a3d584-0b9c-4267-9b53-a0ceffdac8e5,ESLOVAQUIA,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
2eb3a965-6687-4f1e-adf3-87a853ac5c0d,ESPAÑA,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
53eb39e7-0b1e-4f72-a1e1-ee4b900ccc8f,ESPAÑA (balonmano),waterpolo,2026-01-22T22:03:13.236658+00:00,,[]
caab42ad-275e-42c7-898f-1c1cc39a2d75,España F,waterpolo,2026-01-23T16:16:22.306121+00:00,,[]
3fc61c27-877f-46fb-a34a-a43cda8d8c23,Estrella Roja,waterpolo,2026-02-20T16:43:38.129873+00:00,,[]
6c09cfef-daf2-4be9-9ffe-0dba7c8f1df3,Ferencvarosi,waterpolo,2025-11-28T14:20:29.633851+00:00,,[]
c8533762-6c64-4c3c-9fdb-c1991649a097,Ferencvárosi T.C. F,waterpolo,2025-07-17T09:34:09.395306+00:00,f,[]
f05f3eae-97a4-4f18-a46c-b5d637f710f8,Ferencvárosi T.C. M,waterpolo,2025-07-17T09:34:09.395306+00:00,m,[]
1280b0d2-8e18-4192-a40c-0ad1ae0388a7,Francia,waterpolo,2026-01-09T16:08:24.05919+00:00,,[]
646bb8f5-9d0f-4613-8ab1-d5fe2c9e3ec5,FRANCIA,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
407a8973-7f1b-4b41-93cc-6f85b785fa5b,Francia F,waterpolo,2026-01-30T16:52:31.292563+00:00,,[]
bacb18e6-d0f8-4555-b7c3-d13eb27d1378,GEORGIA,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
27757140-59d9-4be2-afa5-86088f20ef75,Gran Bretaña F,waterpolo,2026-01-30T21:37:52.856493+00:00,,[]
459711bc-55e8-404a-ad15-d62ae1175e4a,GRECIA,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
d47cf0f0-173c-4cb7-9385-091fc5852e7c,Grecia F,waterpolo,2026-01-29T23:45:16.015399+00:00,,[]
f6d9530c-e4c7-4d66-aa44-3f3ad6984bd5,Hannover,waterpolo,2025-11-28T14:20:29.633851+00:00,,[]
3e4602e1-8ba5-469e-9544-8bec19555a11,Holanda F,waterpolo,2026-01-29T23:45:16.015399+00:00,,[]
492d7aa2-1df0-4ffe-9482-42c986e6df84,Honved SE,waterpolo,2026-02-20T16:43:38.129873+00:00,,[]
7b9d5005-3b43-4922-bb64-a4c549a5da1f,Hungria,waterpolo,2026-01-09T16:08:24.05919+00:00,,[]
b3e7d3de-fbe1-4bf8-8a1b-ad8722f39b46,HUNGRIA,waterpolo,2026-01-09T18:53:07.315267+00:00,,[]
